Municipio,Classificacao,Sexo,StatusNotificacao,Quantidade,DataEncerramento_Nula,DataObito_Nula
BARRA DE SAO FRANCISCO,Descartados,F,Encerrado,10359,0,10329
BARRA DE SAO FRANCISCO,Descartados,I,Encerrado,2,0,2
BARRA DE SAO FRANCISCO,Descartados,M,Em Aberto,286,286,285
BARRA DE SAO FRANCISCO,Descartados,M,Encerrado,7858,0,7815
BARRA DE SAO FRANCISCO,Suspeito,F,Em Aberto,422,422,422
BARRA DE SAO FRANCISCO,Suspeito,F,Encerrado,4728,0,4725
BARRA DE SAO FRANCISCO,Suspeito,I,Em Aberto,1,1,1
BARRA DE SAO FRANCISCO,Suspeito,I,Encerrado,2,0,2
BARRA DE SAO FRANCISCO,Suspeito,M,Em Aberto,301,301,301
BARRA DE SAO FRANCISCO,Suspeito,M,Encerrado,3543,0,3539
BARRA DE SAO FRANCISCO,Síndrome Gripal não Especificada,F,Em Aberto,66,66,66
BARRA DE SAO FRANCISCO,Síndrome Gripal não Especificada,F,Encerrado,4247,0,4247
BARRA DE SAO FRANCISCO,Síndrome Gripal não Especificada,M,Em Aberto,59,59,59
BARRA DE SAO FRANCISCO,Síndrome Gripal não Especificada,M,Encerrado,3113,0,3112
BOA ESPERANCA,Confirmados,F,Em Aberto,130,130,129
BOA ESPERANCA,Confirmados,F,Encerrado,3038,0,3016
BOA ESPERANCA,Confirmados,M,Em Aberto,74,74,74
BOA ESPERANCA,Confirmados,M,Encerrado,2405,0,2364
BOA ESPERANCA,Descartados,F,Em Aberto,486,486,485
BOA ESPERANCA,Descartados,F,Encerrado,7593,0,7580
BOA ESPERANCA,Descartados,I,Encerrado,1,0,1
BOA ESPERANCA,Descartados,M,Em Aberto,377,377,376
BOA ESPERANCA,Descartados,M,Encerrado,5345,0,5334
BOA ESPERANCA,Suspeito,F,Em Aberto,243,243,243
BOA ESPERANCA,Suspeito,F,Encerrado,26,0,26
BOA ESPERANCA,Suspeito,M,Em Aberto,184,184,184
BOA ESPERANCA,Suspeito,M,Encerrado,28,0,28
BOA ESPERANCA,Síndrome Gripal não Especificada,F,Em Aberto,1,1,1
BOA ESPERANCA,Síndrome Gripal não Especificada,F,Encerrado,5,0,3
BOA ESPERANCA,Síndrome Gripal não Especificada,M,Em Aberto,1,1,1
BOA ESPERANCA,Síndrome Gripal não Especificada,M,Encerrado,5,0,5
BOM JESUS DO NORTE,Confirmados,F,Em Aberto,4,4,4
BOM JESUS DO NORTE,Confirmados,F,Encerrado,1895,0,1878
BOM JESUS DO NORTE,Confirmados,M,Encerrado,1290,0,1271
BOM JESUS DO NORTE,Descartados,F,Em Aberto,1,1,1
BOM JESUS DO NORTE,Descartados,F,Encerrado,3729,0,3723
BOM JESUS DO NORTE,Descartados,M,Em Aberto,1,1,1
BOM JESUS DO NORTE,Descartados,M,Encerrado,2506,0,2505
BOM JESUS DO NORTE,Suspeito,F,Encerrado,1,0,1
BOM JESUS DO NORTE,Suspeito,M,Em Aberto,1,1,1
BOM JESUS DO NORTE,Síndrome Gripal não Especificada,F,Em Aberto,1,1,1
BOM JESUS DO NORTE,Síndrome Gripal não Especificada,F,Encerrado,46,0,46
BOM JESUS DO NORTE,Síndrome Gripal não Especificada,M,Encerrado,28,0,28
BREJETUBA,Confirmados,F,Em Aberto,190,190,190
BREJETUBA,Confirmados,F,Encerrado,1612,0,1597
BREJETUBA,Confirmados,M,Em Aberto,121,121,121
BREJETUBA,Confirmados,M,Encerrado,1320,0,1312
BREJETUBA,Descartados,F,Em Aberto,95,95,95
BREJETUBA,Descartados,F,Encerrado,3556,0,3548
BREJETUBA,Descartados,M,Em Aberto,91,91,91
BREJETUBA,Descartados,M,Encerrado,2701,0,2694
BREJETUBA,Suspeito,F,Em Aberto,133,133,133
BREJETUBA,Suspeito,F,Encerrado,14,0,14
BREJETUBA,Suspeito,M,Em Aberto,115,115,115
